year,team,instagram_followers_m,youtube_subscribers_m,twitter_followers_m,source,notes
2018,Formula 1 (official),5.6,,,Blinkfire Analytics (cited in 2023 report),Instagram only. Pre-DtS baseline. Grew 283% to 21.6M by end of 2022.
2022,Formula 1 (official),21.6,,,Blinkfire Analytics 2023 report,End of 2022. Combined F1 channels exceeded 56M followers across all platforms.
2023,Ferrari,10.2,,,Blinkfire Analytics start of 2023 season,Figures from Blinkfire start-of-season report March 2023.
2023,Mercedes-AMG Petronas,10.2,,,Blinkfire Analytics start of 2023 season,Mercedes led all teams in engagements and media value in 2022.
2023,McLaren Racing,10.1,,,Blinkfire Analytics start of 2023 season,
2023,Red Bull Racing,9.2,,,Blinkfire Analytics start of 2023 season,
2023,Aston Martin F1,2.9,,,Blinkfire Analytics start of 2023 season,Second-highest Instagram growth rate in 2022.
2023,Alpine F1 Team,2.7,,,Blinkfire Analytics start of 2023 season,Largest Twitter follower increase in 2022; TikTok +270%.
2023,AlphaTauri / RB,2.6,,,Blinkfire Analytics start of 2023 season,
2023,Haas F1 Team,2.5,,,Blinkfire Analytics start of 2023 season,Best growth rates across all platforms in 2022.
2023,Williams Racing,2.3,,,Blinkfire Analytics start of 2023 season,
2023,Alfa Romeo / Sauber,2.0,,,Blinkfire Analytics start of 2023 season,
2024,Formula 1 (official),,,,"FOM 2024 season stats via formularapida.net","Combined F1 official accounts: 96M followers across all platforms (up 36% YoY). Instagram +25%; YouTube +16%; TikTok +23%; X +9%; Facebook +7%. WhatsApp channel exceeded 7M."
