year_reported,team_or_entity,sponsor,deal_type,annual_value_usd_m,confidence,source,notes
2022,Red Bull Racing,Oracle,Title Sponsor,100,HIGH,"PlanetF1 / SportsPro / Sportico","5-year deal 2022-2027. Most cited at ~$100M/yr; RTR Sports noted ~$110M as of 2026."
2022,Mercedes-AMG Petronas,Petronas,Title Sponsor,75,HIGH,"Forbes / SportsPro","Renegotiated 2022; Forbes cited $75M/yr. Sportico confirmed 'more than $70M/yr'."
2024,Ferrari,HP,Title Sponsor,90,HIGH,"Ferrari Press Release / SportsPro","Scuderia Ferrari HP from 2024 season. Widely reported ~$90M/yr; some outlets cite $100M."
2024,Formula 1 (FOM),LVMH,Global Partner,150,HIGH,"Reuters","Reuters reported $150M per season covering multiple LVMH brands: Louis Vuitton Moet Hennessy."
2023,Formula 1 (FOM),Heineken,Official Partner,60,MED,"Sportcal / SportsPro","Sportcal described as F1 most valuable individual partner. Renewed May 2023."
2020,Formula 1 (FOM),Aramco,Global Partner,50,MED,"SportsPro","Series-level global partnerships typically $40-50M/yr per SportsPro. Exact Aramco figure undisclosed."
2022,Ferrari,Shell,Principal Partner,40,MED,"SportBusiness.com","Long-term technical and commercial partnership; $40M/yr reported by SportBusiness."
2023,McLaren Racing,Google Chrome,Principal Partner,40,MED,"Multiple industry reports","Chrome branding on MCL cars from 2023; ~$40M/yr cited by analysts. Exact figure undisclosed."
2023,Aston Martin F1,Aramco,Title Sponsor,30,MED,"GlobalData 2023","Team renamed Aston Martin Aramco F1 Team. $30M/yr reported by GlobalData."
2023,Alfa Romeo / Sauber,Stake,Title Sponsor,33,MED,"Sydney Morning Herald","$100M across three seasons reported by SMH averages ~$33M/yr."
2022,Alpine F1 Team,BWT,Title Sponsor,25,MED,"Industry reports Feb 2022 announcement","BWT title sponsorship from February 2022."
2022,Haas F1 Team,MoneyGram,Title Sponsor,20,MED,"Pre-2022 US GP announcement","Announced ahead of 2022 United States Grand Prix; widely reported at ~$20M/yr."
2023,Williams Racing,Duracell,Principal Partner,6,MED,"GlobalData 2023","$6M/yr reported by GlobalData."
2022,McLaren Racing,OKX,Principal Partner,,LOW,"Multiple reports","Characterised as hundreds of millions across multiple seasons; no verified annual figure disclosed."
