year,fom_unique_viewers_m,global_avg_per_race_m,global_cumulative_viewers_m,us_avg_per_race_k,source,notes
2014,425,,,,Formulapedia (citing FOM),"Pre-Liberty era. Hamilton/Mercedes dominance. Peak pay-TV migration in key markets."
2015,400,,,,Formulapedia (citing FOM),"Continued decline. 19-race calendar. Mexico GP returns after 23-year absence."
2016,390,,,,Formulapedia (citing FOM),"21-race calendar. Rosberg/Hamilton rivalry. Consistent decline trend."
2017,352,,,,Formulapedia (citing FOM),"Liberty Media completes acquisition mid-season. Lowest viewership since early 2000s — commercial trough."
2018,490,,,539,"Formulapedia (citing FOM); US via Blackbook Motorsport / ESPN","First full Liberty Media season. US 539K (Blackbook) vs 554K (Motorsport.com) — midpoint used."
2019,471,,,672,"Formulapedia (citing FOM); US via Motorsport.com","DtS Season 1 released March 2019. Global slight dip but US +25% YoY via new ABC broadcast deal."
2020,433,,,608,"Formulapedia (citing FOM); US via Motorsport.com","Zero fans at circuits. Shortened 17-race calendar depresses global total. US still grew from DtS S2."
2021,445,,,948,"Formulapedia (citing FOM); US via Motorsport.com","Verstappen/Hamilton title fight. DtS S3 and S4 aired. US +56% YoY — largest single-year US gain on record."
2022,,70,1540,1210,"FOM via Autoracing1 / CEO Domenicali; US via ESPN Press Room","FOM changed to cumulative reporting (1.54B across 22 races) and per-race avg (70M globally). Not comparable to unique-viewer figures above. Miami GP debut. US +28% YoY."
2023,,,,1110,"ESPN Press Room / Motorsport.com","FOM stated record cumulative audiences but did not publish a verified global figure. Las Vegas GP debut. US 1.11M avg per ESPN Press Room data."
2024,,,,1100,"Motorsport.com / Blackbook Motorsport","US 1.10M avg on ESPN. Miami peaked at 3.1M US viewers. Total season attendance 6.5M confirmed by FOM."
2025,,76.1,1830,1320,"FOM 2025 Season Review / ESPN-Nielsen","Record season: 1.83B cumulative views across 24 races (6.8% YoY). US record 1.32M avg per race on ESPN (ESPN holds US rights through 2025; Apple TV+ takes over from 2026). Global fanbase 827M (+12% YoY). 19 of 24 events sold out."
